Name           Surname        HW1            HW2            HW3            HW4            HW5            HW6            Exam           
Name1          Surname1       5              3              1              0              1              1              8              
Name2          Surname2       4              8              5              7              3              9              4              
Name3          Surname3       3              5              8              1              0              10             8              
Name4          Surname4       4              5              1              5              2              10             5              
Name5          Surname5       7              9              0              2              5              10             10             
Name6          Surname6       7              10             6              8              2              10             10             
Name7          Surname7       5              4              9              2              1              1              0              
Name8          Surname8       1              6              0              0              10             9              5              
Name9          Surname9       9              0              7              10             3              0              6              
Name10         Surname10      7              10             3              10             4              4              10             
Name11         Surname11      3              8              5              0              2              4              5              
Name12         Surname12      1              2              8              7              4              1              1              
Name13         Surname13      2              6              2              5              10             10             4              
Name14         Surname14      8              5              6              1              8              7              7              
Name15         Surname15      5              8              1              8              7              2              6              
Name16         Surname16      10             6              2              8              7              1              1              
Name17         Surname17      9              4              3              3              5              10             9              
Name18         Surname18      6              5              2              4              8              8              8              
Name19         Surname19      9              3              0              7              4              3              3              
Name20         Surname20      8              8              5              9              10             3              1              
Name21         Surname21      6              8              6              6              2              9              8              
Name22         Surname22      1              5              4              3              4              10             8              
Name23         Surname23      0              6              8              9              8              3              10             
Name24         Surname24      7              5              3              3              4              1              6              
Name25         Surname25      1              3              6              9              0              3              4              
Name26         Surname26      3              7              6              6              3              2              1              
Name27         Surname27      2              1              10             7              10             9              8              
Name28         Surname28      3              10             1              5              5              9              2              
Name29         Surname29      5              9              1              4              2              3              6              
Name30         Surname30      1              0              1              8              5              10             8              
Name31         Surname31      8              0              3              8              8              1              9              
Name32         Surname32      1              1              8              1              6              1              7              
Name33         Surname33      6              6              8              9              2              7              9              
Name34         Surname34      2              10             9              9              2              3              3              
Name35         Surname35      1              9              8              0              0              8              8              
Name36         Surname36      2              7              0              4              5              7              6              
Name37         Surname37      5              3              10             7              4              2              8              
Name38         Surname38      6              7              0              1              7              10             0              
Name39         Surname39      0              10             10             0              10             4              8              
Name40         Surname40      8              9              4              0              6              9              1              
Name41         Surname41      9              1              9              3              0              1              2              
Name42         Surname42      1              6              8              6              5              0              0              
